sample-id	season	plant-id	plant-species	date-on-plant	date-pupated	date-eclosed	alternative-id	season	lineage	on-plant-to-pupation	pupation-to-eclosion	on-plant-to-eclosion
w3mp_Asi117	summer	JI26	incarnata	6/12/23	6/24/23	7/3/23	I8	summer	KLb5-TI10	12	9	21
w3mp_Asi137	summer	JI4	incarnata	6/18/23	6/30/23	7/9/23	I13	summer	TI11-WL1	12	9	21
w3mp_Asi66	summer	JI6	incarnata	6/12/23	6/24/23	7/3/23	NA	summer	KLb5-TI10	12	9	21
w3mp_Asi113	summer	JI9	incarnata	6/12/23	6/24/23	7/3/23	I4	summer	KLb5-TI10	12	9	21
w3mp_Asc127	summer	JC28	curassavica	6/16/23	6/25/23	7/5/23	C9	summer	IJ8-RB7	9	10	19
w3mp_Asi102	summer	JI12	incarnata	6/16/23	6/27/23	7/7/23	NA	summer	IJ8-RB7	11	10	21
w3mp_Asi103	summer	JI24	incarnata	6/16/23	6/27/23	7/7/23	NA	summer	IJ8-RB7	11	10	21
w3mp_Asi109	summer	JI3	incarnata	6/18/23	6/29/23	7/9/23	NA	summer	TI11-WL1	11	10	21
w3mp_Asi81	summer	JI6	incarnata	6/12/23	6/24/23	7/4/23	NA	summer	KLb5-TI10	12	10	22
w3mp_Asc94	summer	JC18	curassavica	6/16/23	unknown	7/5/23	NA	summer	IJ8-RB7	NA	NA	19
w3mp_Asi106	summer	JI27	incarnata	6/18/23	unknown	7/8/23	NA	summer	TI11-WL1	NA	NA	20
w3mp_Asi98	summer	JI8	incarnata	6/16/23	unknown	7/6/23	NA	summer	IJ8-RB7	NA	NA	20
w3mp_Afc139	fall	OC26	curassavica	10/5/23	10/30/23	11/19/23	NA	fall	QS2-CX6	25	20	45
w3mp_Afc138	fall	OC22	curassavica	10/4/23	10/22/23	11/19/23	NA	fall	MOYZ	18	28	46
w3mp_Afc140	fall	OC26	curassavica	10/5/23	10/25/23	11/26/23	NA	fall	QS2-CX6	20	32	52
w3mp_Afc141	fall	OC23	curassavica	10/5/23	10/30/23	12/3/23	NA	fall	DH1-VP6	25	34	59
w3mp_Afc142	fall	OC23	curassavica	10/5/23	10/30/23	12/3/23	NA	fall	DH1-VP6	25	34	59
w3mp_Afc143	fall	OC9	curassavica	10/4/23	10/30/23	12/3/23	NA	fall	MOYZ	26	34	60
w3mp_Afi144	fall	OI4	incarnata	10/4/23	10/26/23	12/4/23	NA	fall	MOYZ	22	39	61
w3mp_Afc145	fall	OC9	curassavica	10/4/23	10/30/23	12/9/23	NA	fall	MOYZ	26	40	66
w3mp_Afc146	fall	OC22	curassavica	10/4/23	10/30/23	12/9/23	NA	fall	MOYZ	26	40	66
w3mp_Afc148	fall	OC21	curassavica	10/5/23	11/1/23	12/24/23	NA	fall	DH1-VP6	27	53	80
w3mp_Afi149	fall	OI10	incarnata	10/4/23	10/30/23	12/25/23	NA	fall	MOYZ	26	56	82
w3mp_Afi150	fall	OI4	incarnata	10/4/23	10/30/23	12/29/23	NA	fall	MOYZ	26	60	86
w3mp_Afc151	fall	OC24	curassavica	10/4/23	10/30/23	12/29/23	NA	fall	MOYZ	26	60	86
w3mp_Afc152	fall	OC1	curassavica	10/5/23	10/30/23	12/29/23	NA	fall	DH1-VP6	25	60	85
w3mp_Afc147	fall	OC29	curassavica	10/6/23	unknown	12/9/23	NA	fall	QS11-CX6	NA	NA	64
