sample-id	developmental-stage	plant-species	plant-id	relative-position-s	lineage	date-frozen	date-pupated	date-eclosed	sex	notes
w3mp_5si26	5th-instar	incarnata	JI6	NA	KLb5-TI10	06-21-2023	NA	NA	NA	
w3mp_5sc27	5th-instar	curassavica	JC11	NA	IJ8-RB7	06-22-2023	NA	NA	NA	
w3mp_5sc28	5th-instar	curassavica	JC18	NA	IJ8-RB7	06-22-2023	NA	NA	NA	
w3mp_5sc29	5th-instar	curassavica	JC27	NA	IJ8-RB7	06-22-2023	NA	NA	NA	
w3mp_5si30	5th-instar	incarnata	JI20	NA	IJ8-RB7	06-22-2023	NA	NA	NA	
w3mp_5si31	5th-instar	incarnata	JI13	NA	IJ8-RB7	06-22-2023	NA	NA	NA	
w3mp_5si32	5th-instar	incarnata	JI24	NA	IJ8-RB7	06-22-2023	NA	NA	NA	
w3mp_Esc33	early-pupa	curassavica	JC8	only	KLb5-TI10	06-25-2023	06-24-2023	NA	NA	
w3mp_Esi34	early-pupa	incarnata	JI7	only	KLb5-TI10	06-25-2023	06-24-2023	NA	NA	
w3mp_Esi35	early-pupa	incarnata	JI9	either	KLb5-TI10	06-25-2023	06-24-2023	NA	NA	
w3mp_Esi36	early-pupa	incarnata	JI14	right	KLb5-TI10	06-25-2023	06-24-2023	NA	NA	
w3mp_Esc37	early-pupa	curassavica	JC9	only	KLb5-TI10	06-26-2023	06-25-2023	NA	NA	
w3mp_Esc38	early-pupa	curassavica	JC28	only	IJ8-RB7	06-26-2023	06-25-2023	NA	NA	
w3mp_Esc39	early-pupa	curassavica	JC1	only	KLb5-TI10	06-26-2023	06-25-2023	NA	NA	
w3mp_Esi40	early-pupa	incarnata	JI20	right	IJ8-RB7	06-26-2023	06-25-2023	NA	NA	
w3mp_Esi41	early-pupa	incarnata	JI19	either	IJ8-RB7	06-26-2023	06-25-2023	NA	NA	
w3mp_5sc42	5th-instar	curassavica	JC24	NA	TI11-WL1	06-26-2023	NA	NA	NA	
w3mp_5si43	5th-instar	incarnata	JI27	NA	TI11-WL1	06-26-2023	NA	NA	NA	
w3mp_Esi44	early-pupa	incarnata	JI13	right	IJ8-RB7	06-27-2023	06-26-2023	NA	NA	
w3mp_Esc45	early-pupa	curassavica	JC2	any	IJ8-RB7	06-27-2023	06-26-2023	NA	NA	
w3mp_Esc46	early-pupa	curassavica	JC15	either	IJ8-RB7	06-27-2023	06-26-2023	NA	NA	
w3mp_5si47	5th-instar	incarnata	JI3	NA	TI11-WL1	06-27-2023	NA	NA	NA	
